,time,cell,cell_state,IFNg,transferable_cytotoxic_packets,X,Y,experiment_id
118,1200.0,tcell_38,PD1p,0.14164244587526778,400.0,!units[777.6574180225452 micrometer],!units[806.0042225564528 micrometer],tumor_tcell_20230626.211422
119,1200.0,tcell_39,PD1p,0.1549954120398185,0.0,!units[448.3511694525148 micrometer],!units[817.7383672449815 micrometer],tumor_tcell_20230626.211422
120,1800.0,tcell_0,PD1n,1.459035250586356,400.0,!units[827.5240321757061 micrometer],!units[571.8390131115976 micrometer],tumor_tcell_20230626.211422
121,1800.0,tcell_1,PD1n,0.36289047267405455,400.0,!units[703.8454863524737 micrometer],!units[362.72884489796115 micrometer],tumor_tcell_20230626.211422
122,1800.0,tcell_2,PD1n,0.213230041645201,30.400000000000006,!units[590.9011915402208 micrometer],!units[897.9932390459879 micrometer],tumor_tcell_20230626.211422
123,1800.0,tcell_3,PD1n,1.6709340882614536,400.0,!units[915.1102891761678 micrometer],!units[537.1909566012903 micrometer],tumor_tcell_20230626.211422
124,1800.0,tcell_4,PD1n,0.005161305259668833,34.000000000000014,!units[500.0216706597415 micrometer],!units[338.3386568547788 micrometer],tumor_tcell_20230626.211422
125,1800.0,tcell_5,PD1n,1.428839373575812,400.0,!units[567.414537751425 micrometer],!units[868.0228566923842 micrometer],tumor_tcell_20230626.211422
126,1800.0,tcell_6,PD1n,1.298537855416672,242.2,!units[579.1630199303827 micrometer],!units[791.656397885208 micrometer],tumor_tcell_20230626.211422
127,1800.0,tcell_7,PD1n,0.21368541800170227,400.0,!units[474.3262333457222 micrometer],!units[881.4935896911684 micrometer],tumor_tcell_20230626.211422
128,1800.0,tcell_8,PD1n,1.362639139633935,400.0,!units[620.9236857201677 micrometer],!units[381.45595010503894 micrometer],tumor_tcell_20230626.211422
129,1800.0,tcell_9,PD1p,1.2033040237299883,400.0,!units[850.4273860563588 micrometer],!units[584.2799845557051 micrometer],tumor_tcell_20230626.211422
130,1800.0,tcell_10,PD1p,0.33887467674644056,400.0,!units[622.7322295787119 micrometer],!units[833.3644017556956 micrometer],tumor_tcell_20230626.211422
131,1800.0,tcell_11,PD1p,1.049554487309163,10.600000000000003,!units[573.7775506948065 micrometer],!units[858.5237236156454 micrometer],tumor_tcell_20230626.211422
132,1800.0,tcell_12,PD1p,0.051440958970268645,37.80000000000001,!units[564.2918523456194 micrometer],!units[347.72241809254166 micrometer],tumor_tcell_20230626.211422
133,1800.0,tcell_13,PD1p,0.31528552309890057,31.500000000000007,!units[725.3240617522528 micrometer],!units[370.23038322317484 micrometer],tumor_tcell_20230626.211422
134,1800.0,tcell_14,PD1p,0.4490432785036259,400.0,!units[839.5786727303582 micrometer],!units[502.90921269053814 micrometer],tumor_tcell_20230626.211422
135,1800.0,tcell_15,PD1p,0.054157155012198914,400.0,!units[381.60259630947616 micrometer],!units[479.1070154997453 micrometer],tumor_tcell_20230626.211422
136,1800.0,tcell_16,PD1p,0.07763130481077325,400.0,!units[688.4087271712951 micrometer],!units[824.0512513692788 micrometer],tumor_tcell_20230626.211422
137,1800.0,tcell_17,PD1p,0.0013836003310412058,40.600000000000016,!units[355.93749133729455 micrometer],!units[714.664637495393 micrometer],tumor_tcell_20230626.211422
138,1800.0,tcell_18,PD1p,0.18937854445759236,0.0,!units[459.0764229280878 micrometer],!units[809.0092530670091 micrometer],tumor_tcell_20230626.211422
139,1800.0,tcell_19,PD1p,0.10345673227815691,0.0,!units[808.6084702372355 micrometer],!units[716.6553362419799 micrometer],tumor_tcell_20230626.211422
140,1800.0,tcell_20,PD1p,0.24226592249846418,130.3,!units[808.2828390705005 micrometer],!units[626.990945988737 micrometer],tumor_tcell_20230626.211422
141,1800.0,tcell_21,PD1p,0.3137953490261971,5.500000000000002,!units[842.5389961947012 micrometer],!units[630.3593366316185 micrometer],tumor_tcell_20230626.211422
142,1800.0,tcell_22,PD1p,0.15638493182078378,400.0,!units[369.32738583965033 micrometer],!units[535.128385534938 micrometer],tumor_tcell_20230626.211422
143,1800.0,tcell_23,PD1p,0.06349902466839963,0.0,!units[837.8492471087802 micrometer],!units[675.455700228131 micrometer],tumor_tcell_20230626.211422
144,1800.0,tcell_24,PD1p,0.5882043669415943,2.800000000000001,!units[847.730317353136 micrometer],!units[518.3528036292397 micrometer],tumor_tcell_20230626.211422
145,1800.0,tcell_25,PD1p,0.16850988097815914,400.0,!units[453.90523132254657 micrometer],!units[764.4985290820373 micrometer],tumor_tcell_20230626.211422
146,1800.0,tcell_26,PD1p,0.02336655205302356,0.0,!units[557.7279844775045 micrometer],!units[311.3600528618598 micrometer],tumor_tcell_20230626.211422
147,1800.0,tcell_27,PD1p,0.37803105779786556,25.300000000000008,!units[827.8031683855766 micrometer],!units[497.01480130889365 micrometer],tumor_tcell_20230626.211422
148,1800.0,tcell_28,PD1p,0.24548889836151394,10.600000000000003,!units[628.3955811253875 micrometer],!units[839.6883663439647 micrometer],tumor_tcell_20230626.211422
149,1800.0,tcell_29,PD1p,0.7894126715978759,400.0,!units[550.7663445772299 micrometer],!units[802.3663094280865 micrometer],tumor_tcell_20230626.211422
150,1800.0,tcell_30,PD1p,0.2040298291646737,400.0,!units[759.6456201975601 micrometer],!units[428.9608053220236 micrometer],tumor_tcell_20230626.211422
151,1800.0,tcell_31,PD1p,1.2989521482906436,14.000000000000005,!units[828.6031171537702 micrometer],!units[562.3327003673647 micrometer],tumor_tcell_20230626.211422
152,1800.0,tcell_32,PD1p,0.153975632090344,244.8999999999998,!units[763.689819585636 micrometer],!units[407.5811103859412 micrometer],tumor_tcell_20230626.211422
153,1800.0,tcell_33,PD1p,0.20402133066400374,400.0,!units[677.1675475909803 micrometer],!units[863.6573999889147 micrometer],tumor_tcell_20230626.211422
