,AbsoluteY,AbsoluteX,H2Db,H2Kb,PD1,PDL1,Region,Cell Type,IFNg
60476,153.4223779296875,84.90828845214844,1962.8284708517713,2242.305873245766,2026.7728281309862,4311.598788071689,Cntrl_d3,PDL1n,0
60482,169.00386340332034,105.82313659667972,1865.0478324398523,85.9556594496301,2638.9556135827584,1463.2780341644923,Cntrl_d3,PDL1n,0
60486,168.8301820068359,65.6185625,522.1626846230043,5.351917812692284,1250.0153318667772,775.4658411343025,Cntrl_d3,PDL1n,0
60488,31.737942504882824,0.13114978027351754,1726.4992393379482,2343.296177971931,1855.3324038214441,4201.20841840196,Cntrl_d3,PDL1n,0
60492,51.50333642578124,49.96026879882811,2257.7953690411737,1830.5723694631747,2605.599106193833,9174.20955287716,Cntrl_d3,PDL1n,0
60495,158.19626928710943,59.82319995117189,1732.7985513086828,1643.6929217574072,1829.822662086776,1595.989174685162,Cntrl_d3,PDL1n,0
60499,46.79152673339843,43.95666345214846,1963.1131545661567,1092.9123142294825,2361.138929454954,11008.779354985063,Cntrl_d3,PDL1n,0
60501,35.1349462890625,67.57839184570315,2238.745362531704,3992.372882224068,2191.0641972803774,6769.557171268885,Cntrl_d3,PDL1n,0
60502,157.3763679199219,83.11293640136716,3884.2790044563244,5494.656414562233,5015.413527497603,8921.710359039918,Cntrl_d3,PDL1n,0
60503,143.75461975097653,85.78714208984377,1733.7296767421303,243.08065420228183,1683.1234336020348,19.52648456549933,Cntrl_d3,PDL1n,0
60504,28.997467285156233,62.41756005859378,2785.1482420396333,5006.152967729812,2787.4903234883445,11965.89905948209,Cntrl_d3,PDL1n,0
60508,124.72164221191406,50.8118322753906,5657.626566576443,3343.2724494997838,5100.369781528501,17932.78463162248,Cntrl_d3,PDL1n,0
60511,131.53092858886714,20.667617309570232,2176.8853104546733,1960.351487131126,2081.7945125908436,4055.025637234685,Cntrl_d3,PDL1n,0
60514,31.461405273437492,74.00869934082033,2981.5877501761306,5388.784406828682,2851.9608284718825,7829.162411853771,Cntrl_d3,PDL1n,0
60515,127.98850000000004,32.41899999999998,3757.5983407987137,1406.3458871674627,5561.177650520957,19955.51460702207,Cntrl_d3,PDL1n,0
60516,32.22663427734375,70.01126599121096,4811.764188948445,4344.628680934923,3195.7038138351304,6151.921100063398,Cntrl_d3,PDL1n,0
60520,165.938115234375,53.918170532226554,529.6737914556194,603.0729532473532,1866.3992447098103,2249.8303630972964,Cntrl_d3,PDL1n,0
60524,87.79087500000003,43.22631799316406,1989.221881494821,618.0601861109154,2544.504110633911,8476.379363884322,Cntrl_d3,PDL1n,0
60528,59.265983642578135,49.703888549804674,5551.69664431922,625.7820185756226,4824.217729671091,6006.78852070055,Cntrl_d3,PDL1n,0
60532,165.60474267578127,45.467378662109354,1256.4231428502153,0.0,986.5157514932943,0.0,Cntrl_d3,PDL1n,0
60536,205.54078710937495,99.41998120117188,7237.844847983539,6503.668599496438,5709.6549213458875,9423.00531035126,Cntrl_d3,PDL1n,0
60537,329.57231445312505,53.86161132812498,13115.760692852338,6392.550215172181,9851.277994206817,10130.838966531783,Cntrl_d3,PDL1n,0
60542,200.41253784179685,49.19237060546874,3225.215614728439,6126.674005790384,3096.399901395186,8179.50442380188,Cntrl_d3,PDL1n,0
60543,179.28999914550786,26.4160389404297,6514.2918127451485,3382.18883625106,4915.2221537348005,5824.356667251105,Cntrl_d3,PDL1n,0
